source_record_id,category,normalization_status,resume_excerpt,top_occ_candidates,top_skill_candidates,occupation_esco_id,skill_esco_id,annotator_notes
10235429,FITNESS,partial,"FITNESS INSTRUCTOR Professional Summary Dynamic, entrepreneurial sales executive with a record of achievement and success driving sales growth in highly competitive markets. Solid background securing key clients and increasing product distribution to grow market share. Steadfast in building new business, securing customer loyalty, and developing strong relationships with external business partners. Well organized with a track record that demonstrates self-motivation, creativity and the initiativ","1:fitness instructor [http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7] (exact,1.0000) || 2:marketing manager [http://data.europa.eu/esco/occupation/6fcf4638-e7c7-4978-9302-9a7b63a3d57c] (alt_label,0.9500) || 3:product manager [http://data.europa.eu/esco/occupation/9f508305-80ce-4111-8722-f2c9b4a44890] (alt_label,0.9500) || 4:branch manager [http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457] (fuzzy,0.9200) || 5:trade regional manager [http://data.europa.eu/esco/occupation/3a4c4e33-ee34-4abe-ba5c-26f9037d292f] (fuzzy,0.9200) || 6:fire commissioner [http://data.europa.eu/esco/occupation/f2413988-f76a-4636-a4b1-9952517aa21f] (fuzzy,0.9200) || 7:zoo educator [http://data.europa.eu/esco/occupation/7c5e4ca1-e8be-4297-9014-509d5ba57210] (fuzzy,0.9200) || 8:purchaser [http://data.europa.eu/esco/occupation/29fa406d-de89-4515-be8d-0fe7bda993f1] (fuzzy,0.9200) || 9:product assembly inspector [http://data.europa.eu/esco/occupation/753939ad-b03e-47cd-913b-56f30b5ae8fc] (fuzzy,0.9200)",,http://data.europa.eu/esco/occupation/c784c2db-e636-429f-8492-3191790a58d7,,
10504237,TEACHER,success,"BIOLOGY TEACHER Experience 11/2016 to Current Biology Teacher Company Name － City , State Execute, implement, and modify lesson plans while incorporating differentiated instruction and multiple intelligences. Design and align lessons, labs, and assessments incorporating STEM, problem based learning, Common Core and NGSS. Volunteer and participate in schools extracurricular activities such as selling tickets for the school talent show and participating in the Lindenwold HS 5K for the scholarship ","1:bacteriology technician [http://data.europa.eu/esco/occupation/f3b99acc-b212-45cf-bb4f-7b83cc6f0d71] (fuzzy,1.0000) || 2:biology lecturer [http://data.europa.eu/esco/occupation/5fdfa822-c1ba-477e-87cc-3d742e59310d] (alt_label,0.9800) || 3:biology teacher secondary school [http://data.europa.eu/esco/occupation/8d315e32-73f6-463d-a335-c200e0bac97d] (alt_label,0.9800) || 4:politics lecturer [http://data.europa.eu/esco/occupation/c593ded7-2e97-44a5-a5f3-f6115ff98233] (alt_label,0.9650) || 5:quality engineering technician [http://data.europa.eu/esco/occupation/998a0bf4-b1be-42ab-aee5-0096c9be3319] (fuzzy,0.9500) || 6:consumer electronics repair technician [http://data.europa.eu/esco/occupation/f8ab2e08-d14e-4938-a2cd-c04821556db7] (fuzzy,0.9500)","1:biology [http://data.europa.eu/esco/skill/9433da85-70fa-4a25-8f96-71fa59dd1989] (exact,1.0000) || 2:database [http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576] (exact,1.0000) || 3:English [http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0] (exact,1.0000) || 4:pathology [http://data.europa.eu/esco/skill/db8a9ba7-96ad-4c53-b552-d4f1570dfefb] (exact,1.0000) || 5:statistics [http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833] (exact,1.0000) || 6:maintain equipment [http://data.europa.eu/esco/skill/5033c2fb-ec55-4b8e-b0a4-9379593f1e1c] (alt_label,0.9500) || 7:perform minor repairs to equipment [http://data.europa.eu/esco/skill/c0fc7d2d-d013-40d7-bc58-75cf3771153f] (alt_label,0.9500) || 8:surgical asepsis [http://data.europa.eu/esco/skill/3d395072-95d7-4706-986f-a7d29ddbd547] (fuzzy,0.9200) || 9:transfer medication [http://data.europa.eu/esco/skill/2755816d-b765-435e-a29e-dddfddee1786] (fuzzy,0.9200) || 10:apply safety procedures in laboratory [http://data.europa.eu/esco/skill/6f571969-3640-4774-a9bc-fd2ef583fdec] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/f3b99acc-b212-45cf-bb4f-7b83cc6f0d71,http://data.europa.eu/esco/skill/9433da85-70fa-4a25-8f96-71fa59dd1989;http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,
10889157,CHEF,partial,"LEAD COOK (COOK III) Summary Charles Hundley has well over nine years of overall cooking and kitchen experience. Four years of lead cook experience. Three years as a certified trainer. He has gained various amounts of knowledge in the culinary industry and has taken his career to many different levels throughout his cooking career, though he only has minimal school training Charles has learned from various top of the line chefs including the top three chefs of The Norwegian Cruise Line's Pride O","1:chef [http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588] (exact,1.0000) || 2:cook [http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e] (exact,1.0000) || 3:secretary [http://data.europa.eu/esco/occupation/5ac377d2-e1d0-4911-a299-b4ef2782a0ba] (fuzzy,0.9200) || 4:head chef [http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0] (fuzzy,0.9200)",,http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588,,
13037145,FITNESS,success,"SOCIAL MEDIA AGENT Summary College prepared student with over three years of front line customer service experience, excellent communication skills, with strong work ethic. Looking for opportunities in Corporate America to develop as a career professional where training, coaching, and mentoring opportunities are available. Teachable and quick to learn taking on new roles and responsibilities with flexible schedule. *Detail and Deadline Oriented *Critical Thinking *Superior Writing Skills Highlig","1:auctioneer [http://data.europa.eu/esco/occupation/f1ecc3c4-8212-4386-871a-6fda1b5b4d91] (fuzzy,0.9200)","1:customer service [http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc] (exact,1.0000) || 2:English [http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0] (exact,1.0000) || 3:public relations [http://data.europa.eu/esco/skill/5330b70e-16f5-43a7-a6de-18fd6a4bd063] (exact,1.0000) || 4:Spanish [http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7] (exact,1.0000) || 5:procurement of ICT network equipment [http://data.europa.eu/esco/skill/32428b21-514b-42c2-81b5-244a7804ea74] (alt_label,0.9500) || 6:analyse call centre activities [http://data.europa.eu/esco/skill/3bb6f78f-24f3-4799-b247-91a0c4bf5d81] (fuzzy,0.9200) || 7:Computer Assisted Language Learning [http://data.europa.eu/esco/skill/b8df1689-6763-437d-bfca-fe03d43f36c3] (fuzzy,0.9200) || 8:social media marketing techniques [http://data.europa.eu/esco/skill/509909a2-4a8f-4ead-8ad0-968df63b77cc] (fuzzy,0.9200) || 9:use microsoft office [http://data.europa.eu/esco/skill/f683ae1d-cb7c-4aa1-b9fe-205e1bd23535] (fuzzy,0.8324) || 10:use word processing software [http://data.europa.eu/esco/skill/81633a44-f1db-4a01-a940-804c6905e330] (fuzzy,0.7957)",http://data.europa.eu/esco/occupation/f1ecc3c4-8212-4386-871a-6fda1b5b4d91,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc;http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0,
13348915,SALES,success,"SALES ASSOCIATE Summary Punctual retail sales professional focused on exceeding expectations and building customer loyalty. Flexible schedule and strong mathematical aptitude. Results-oriented Store Manager focused on increasing profits, reducing costs, inventory management and transforming customer service standards. Enthusiastic, outgoing and fashion-savvy Sales Associate proficient at building positive relationships with new and existing customers by offering superior customer service. Highli","1:sales support assistant [http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100] (alt_label,0.9650) || 2:sales account manager [http://data.europa.eu/esco/occupation/2eac08c2-a81a-46fc-8d75-eb0e0f3e0f6d] (fuzzy,0.9500) || 3:bank manager [http://data.europa.eu/esco/occupation/754ce08f-b4d9-4b9c-b9d2-06f15258a3ce] (fuzzy,0.9200) || 4:business analyst [http://data.europa.eu/esco/occupation/60082a99-d8ef-4e84-9290-78902681b6ed] (fuzzy,0.9200)","1:customer service [http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc] (exact,1.0000) || 2:blockchain consensus mechanisms [http://data.europa.eu/esco/skill/f7e051fc-8f7b-45b3-8911-8ffb9b951f4a] (alt_label,0.9500) || 3:operate cash register [http://data.europa.eu/esco/skill/0cb013af-6dd9-4fb2-b34e-63dda1a5cf82] (fuzzy,0.9200) || 4:English [http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0] (fuzzy,0.9200) || 5:work in a hospitality team [http://data.europa.eu/esco/skill/8c8da904-cdb3-47d9-bfbf-15ade747d9ec] (fuzzy,0.9200) || 6:consumer law [http://data.europa.eu/esco/skill/947e6a15-5539-43e2-b62f-6a52fd57e0a0] (fuzzy,0.8454) || 7:have computer literacy [http://data.europa.eu/esco/skill/d15ce60f-ddab-41ce-ba56-398451b77b60] (fuzzy,0.8118)",http://data.europa.eu/esco/occupation/5c1eba1e-7820-4287-9746-4c5906320100,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc;http://data.europa.eu/esco/skill/f7e051fc-8f7b-45b3-8911-8ffb9b951f4a,
13520837,HR,success,"HR REPRESENTATIVE Summary A motivated business partner who communicates and collaborates effectively with all levels of personnel by relying on outstanding interpersonal and customer service skills, excellent sense of urgency and time management skills and taking pride in delivering high quality work. Highlights provide a high level of service to both internal and external clients and candidates possess excellent communication skills an organizational guru communication skills, have the ability ","1:human resources officer [http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb] (alt_label,0.9800) || 2:typist [http://data.europa.eu/esco/occupation/22f86890-f68b-402f-a711-3e6df4913271] (alt_label,0.9500) || 3:human resources assistant [http://data.europa.eu/esco/occupation/d8ed1703-9c03-4ea0-83cc-b6169bc54ffd] (fuzzy,0.9500) || 4:talent acquisition manager [http://data.europa.eu/esco/occupation/a6e8a6bf-9209-4d19-a131-a8b6431e0f75] (fuzzy,0.9500)","1:customer service [http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc] (exact,1.0000) || 2:human resource management [http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba] (alt_label,0.9500) || 3:supervise data entry [http://data.europa.eu/esco/skill/f399a9c1-be41-4117-bf86-a64b503c4cfd] (fuzzy,0.9200) || 4:maintain data entry requirements [http://data.europa.eu/esco/skill/88564d2d-2dc9-4789-864a-f9cb73f389ec] (fuzzy,0.9200) || 5:make time-critical decisions [http://data.europa.eu/esco/skill/875217fb-fe22-4c2c-adf4-b57f2052626a] (fuzzy,0.9200) || 6:consider economic criteria in decision making [http://data.europa.eu/esco/skill/d41262ae-eca1-4ede-89a8-46d2d99a7a31] (fuzzy,0.9200) || 7:identify necessary human resources [http://data.europa.eu/esco/skill/b22e46d7-1c5f-4837-943f-7f75531acc26] (fuzzy,0.9200) || 8:accurately estimate work hours [http://data.europa.eu/esco/skill/bd556223-d9af-434b-a6bf-e70fa3ed3d12] (fuzzy,0.9200) || 9:car controls [http://data.europa.eu/esco/skill/1b1c2d44-c487-4121-a2ed-dcda651f4d59] (fuzzy,0.8096)",http://data.europa.eu/esco/occupation/d3e32e5e-7f24-48e3-b939-e4f800eb62fb,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc;http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba,
14364597,PUBLIC-RELATIONS,success,"PUBLIC RELATIONS & DEVELOPMENT ASSOCIATE Summary Strong software skills including MS Word, Excel, PowerPoint, Publisher, Banner, VisiFlow, XtenderSolutions, Cisco Agent Desktop, Cisco Supervisor Desktop and Adobe Acrobat. Proficient with mainstream social networking sites. Highlights Training and development Team building & management Dedicated to process improvement Invoice processing Management of remote employees High customer service standards Client relations specialist Excellent communicat","1:secretary [http://data.europa.eu/esco/occupation/5ac377d2-e1d0-4911-a299-b4ef2782a0ba] (fuzzy,0.9200) || 2:assistant video and motion picture director [http://data.europa.eu/esco/occupation/71898b81-fc2f-4a97-826d-f45e49a8160a] (fuzzy,0.9200) || 3:lottery cashier [http://data.europa.eu/esco/occupation/3f32394b-f1b1-48ef-96ee-74405fb7c6b6] (fuzzy,0.9200)","1:customer service [http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc] (fuzzy,0.9200) || 2:Cisco [http://data.europa.eu/esco/skill/709ef32a-7435-48e2-8fa2-16e389ecab8a] (fuzzy,0.9200) || 3:represent the company [http://data.europa.eu/esco/skill/43268a87-8280-4e3f-bf97-97dc973d60ef] (fuzzy,0.8178) || 4:human resource management [http://data.europa.eu/esco/skill/e437eba1-3e22-41f2-8703-741e94785cba] (fuzzy,0.8000)",http://data.europa.eu/esco/occupation/5ac377d2-e1d0-4911-a299-b4ef2782a0ba,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc;http://data.europa.eu/esco/skill/709ef32a-7435-48e2-8fa2-16e389ecab8a,
15210069,AUTOMOBILE,success,"SOFTWARE SUPPORT SPECIALIST Professional Summary Dedicated Customer Service Representative motivated to maintain customer satisfaction and contribute to company success. Skill Highlights Strong organizational skills Energetic work attitude Telephone inquiries specialist Customer service expert Telecommunication skills Adaptive team player Active listening skills Sharp problem solver Work Experience Software Support Specialist Company Name － City , State Evaluated system potential by testing comp","1:branch manager [http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457] (exact,1.0000) || 2:commercial sales representative [http://data.europa.eu/esco/occupation/14031d4a-6e99-442f-b4fe-18262b6432b2] (alt_label,0.9500) || 3:software developer [http://data.europa.eu/esco/occupation/f2b15a0e-e65a-438a-affb-29b9d50b77d1] (fuzzy,0.9200) || 4:police inspector [http://data.europa.eu/esco/occupation/ce2b8609-34c7-40d3-a4f7-581c76bd258a] (fuzzy,0.9200) || 5:building cleaner [http://data.europa.eu/esco/occupation/303a1e34-cb16-4054-b323-81e5eec17397] (fuzzy,0.9200)","1:customer service [http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc] (exact,1.0000) || 2:philosophy [http://data.europa.eu/esco/skill/967b60c2-4657-4ffc-bcaf-aab565793f97] (exact,1.0000) || 3:economics [http://data.europa.eu/esco/skill/88af9294-b697-4687-ae19-aefbb6234dfa] (alt_label,0.9500) || 4:cyber security [http://data.europa.eu/esco/skill/8088750d-8388-4170-a76f-48354c469c44] (alt_label,0.9500) || 5:apply air force procedures [http://data.europa.eu/esco/skill/607f81ad-93c3-4c62-aa8b-0f8756d90a04] (fuzzy,0.9200) || 6:air force operations [http://data.europa.eu/esco/skill/b5d82f65-8934-4cc2-8ced-2a23871d02e0] (fuzzy,0.9200) || 7:database [http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576] (fuzzy,0.9200) || 8:database management systems [http://data.europa.eu/esco/skill/ab1e97ed-2319-4293-a8b7-072d2648822f] (fuzzy,0.9200) || 9:sell software personal training [http://data.europa.eu/esco/skill/9710209e-d80f-4459-aaa4-28aafadb008d] (fuzzy,0.9200) || 10:communication [http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/0917ab6b-18a8-4cfd-8e7a-843b88cf9457,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc;http://data.europa.eu/esco/skill/967b60c2-4657-4ffc-bcaf-aab565793f97,
15261348,CHEF,success,CHEF AND RESTAURANT MANAGER Summary Chef with 15 years of highly recognized work in catering and restaurant management in 4 star hotels and leading restaurants. Specializes in creating menus that attract and retain customers for events and parties. Looking for a challenging role in culinary management. Highlights Focus on portion and cost control High volume production capability Orchestrated a successful profit and loss statement Inventory management control ServSafe certified Utilized systems ,"1:chef [http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588] (exact,1.0000) || 2:cook [http://data.europa.eu/esco/occupation/90f75f67-495d-49fa-ab57-2f320e251d7e] (exact,1.0000) || 3:accommodation manager [http://data.europa.eu/esco/occupation/53cdd34e-22f2-41bd-b3c7-de22bf9bbcae] (fuzzy,0.9200) || 4:head chef [http://data.europa.eu/esco/occupation/01484951-15e6-4b88-a20f-1201868d36a0] (fuzzy,0.9200)","1:project commissioning [http://data.europa.eu/esco/skill/4ca91852-c534-4b98-ab1c-59a126534c88] (fuzzy,0.9200) || 2:project management [http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/1009be17-7efd-45f1-a033-566bf179c588,http://data.europa.eu/esco/skill/4ca91852-c534-4b98-ab1c-59a126534c88;http://data.europa.eu/esco/skill/7111b95d-0ce3-441a-9d92-4c75d05c4388,
16899268,INFORMATION-TECHNOLOGY,success,"INFORMATION TECHNOLOGY MANAGER/ANALYST Professional Summary Innovative and solution focused web development manager/analyst with extensive experience in Program and Project Management. Detail-oriented and skilled in identifying technology needs, creating a plan for solving them, and leading multiple teams to implement the solutions. Self motivated, strong leader, and team player that works hard developing staff. Experienced in working in industry and academia. Skills Project management Program m","1:ICT teacher secondary school [http://data.europa.eu/esco/occupation/0d595b87-a1fc-410c-abbe-88b92cb0d334] (fuzzy,0.9200) || 2:cyber incident responder [http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4] (fuzzy,0.9200) || 3:telecommunications manager [http://data.europa.eu/esco/occupation/3ce4691e-ecea-4278-939e-b89ab01087b8] (fuzzy,0.9200) || 4:public relations manager [http://data.europa.eu/esco/occupation/6cc19251-763b-4de1-b4f7-526c9ff732d2] (fuzzy,0.9200)","1:plan [http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/0d595b87-a1fc-410c-abbe-88b92cb0d334,http://data.europa.eu/esco/skill/e49f4158-9d4c-425d-bf32-dfe89b19840a,
17111768,INFORMATION-TECHNOLOGY,success,"INFORMATION TECHNOLOGY PROJECT MANAGER SYSTEM ANALYSIS (SYSANALSYS) [GS-2210-12] Professional Overview Highly-qualified Department of Defense (DoD) Program Manager (PM) professional, driven to maximize Mission Partner (MP) operational efficiency through planning, project management and Infrastructure Technology (IT) expertise. Excels at building dynamic team relationships and achieves project management process improvements. Looking to continue federal career as a strategic planner possessing ex","1:ICT teacher secondary school [http://data.europa.eu/esco/occupation/0d595b87-a1fc-410c-abbe-88b92cb0d334] (fuzzy,0.9200) || 2:cyber incident responder [http://data.europa.eu/esco/occupation/0ce5a9f4-e00a-4bbe-b255-3c63407167a4] (fuzzy,0.9200) || 3:computer hardware repair technician [http://data.europa.eu/esco/occupation/b7aa4b4e-dbb6-4f58-b36c-35b9a7267972] (fuzzy,0.9200) || 4:consumer electronics repair technician [http://data.europa.eu/esco/occupation/f8ab2e08-d14e-4938-a2cd-c04821556db7] (fuzzy,0.9200)","1:financial analysis [http://data.europa.eu/esco/skill/99571e68-801f-49af-a897-5f75996642e1] (alt_label,0.9500) || 2:international financial reporting standards [http://data.europa.eu/esco/skill/4a855abe-ac5b-4e95-ac10-3c1adceeee28] (fuzzy,0.9200) || 3:global standards for sustainability reporting [http://data.europa.eu/esco/skill/4300b453-9bcf-474c-9ee3-92ec2229720c] (fuzzy,0.9200)",http://data.europa.eu/esco/occupation/0d595b87-a1fc-410c-abbe-88b92cb0d334,http://data.europa.eu/esco/skill/99571e68-801f-49af-a897-5f75996642e1;http://data.europa.eu/esco/skill/4a855abe-ac5b-4e95-ac10-3c1adceeee28,
18488289,DIGITAL-MEDIA,partial,"SENIOR DIGITAL MARKETING SPECIALIST Summary Digital marketing professional experienced in SEO, PPC and account management. Knowledgeable about conversion rate optimization, content marketing, analytics and proficient in wide variety of SEO/PPC tools. Highlights Excellent written and verbal communicator Superb time management skills Cross-functional team leadership Focused and driven Skilled multi-tasker Results-oriented Deadline-driven Self-directed Detail-oriented Customer service-oriented Quic","1:marketing assistant [http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344] (exact,1.0000) || 2:digital marketing manager [http://data.europa.eu/esco/occupation/dc97adbe-f807-4ad8-8f3c-c24b3416cdef] (fuzzy,0.9200) || 3:marketing consultant [http://data.europa.eu/esco/occupation/4791e217-d607-40d5-9f84-df1d0a071cbc] (fuzzy,0.9200) || 4:search engine optimisation expert [http://data.europa.eu/esco/occupation/092fdeeb-a76f-4ed2-b248-90fd6eaaffef] (fuzzy,0.9200) || 5:project manager [http://data.europa.eu/esco/occupation/bea99fea-0383-4c63-b944-70d4799de2c5] (fuzzy,0.9200) || 6:advertising copywriter [http://data.europa.eu/esco/occupation/b1ab3572-fa2f-4624-8eac-3c3d986d237b] (fuzzy,0.9200) || 7:membership manager [http://data.europa.eu/esco/occupation/4ae470fc-bcf8-4704-abd5-e086ebb1552c] (fuzzy,0.9200) || 8:lean manager [http://data.europa.eu/esco/occupation/c9862fdd-53b7-4da9-b742-4302d704836c] (fuzzy,0.8740)",,http://data.europa.eu/esco/occupation/47e81c7f-2d04-4a60-a8ff-9913c36d8344,,
18645964,BANKING,partial,"REVOLVING CREDIT SUPPORT SPECIALIST Professional Background Energetic, dedicated Support Specialist with strong interpersonal skills and 8+ years of contact center and customer service experience. Proven ability to work effectively with people of various ages, cultural backgrounds, and socio-economic statuses. Financial and Customer Support background and the ability to build new and strengthen existing relationships. Great attitude, strong work ethics and customer focused outlook. Well-develope",,"1:customer service [http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc] (exact,1.0000) || 2:database [http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576] (exact,1.0000) || 3:economics [http://data.europa.eu/esco/skill/88af9294-b697-4687-ae19-aefbb6234dfa] (alt_label,0.9500) || 4:analyse call centre activities [http://data.europa.eu/esco/skill/3bb6f78f-24f3-4799-b247-91a0c4bf5d81] (fuzzy,0.9200) || 5:Computer Assisted Language Learning [http://data.europa.eu/esco/skill/b8df1689-6763-437d-bfca-fe03d43f36c3] (fuzzy,0.9200) || 6:lead the dental team [http://data.europa.eu/esco/skill/06ec0ecb-87fc-47a4-8348-81df2470ff3d] (fuzzy,0.9200) || 7:report to the team leader [http://data.europa.eu/esco/skill/f9411f5f-0bb8-4f92-91c4-38b8b38e5179] (fuzzy,0.9200) || 8:manage truck drivers [http://data.europa.eu/esco/skill/148ee840-2b81-44e5-914c-4c19ed1649ea] (fuzzy,0.9200) || 9:manage time in casting processes [http://data.europa.eu/esco/skill/52f53839-858c-482d-a9cb-c2f40dd1c506] (fuzzy,0.9200) || 10:manage time in tourism [http://data.europa.eu/esco/skill/86ffa56b-12f5-4dcd-8afd-9251fbb6b496] (fuzzy,0.9200)",,http://data.europa.eu/esco/skill/15a33d76-4640-438d-ae64-fdc0c1d3eebc;http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576,
